file_name,file_urls
Karn the Artifact Commander,https://deckstats.net/decks/222345/2856961-karn-the-artifact-commander/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Drunken Sailor,https://deckstats.net/decks/126664/2447552-drunken-sailor/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Copy of: Krenko, Mob Boss | Goblin Tribal",https://deckstats.net/decks/216939/2898568-copy-of-krenko-mob-boss-goblin/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Tuvasa Enchant,https://deckstats.net/decks/221058/2877725-tuvasa-enchant/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"[[Primer]] - Sliver Overlord, The Godfather (cEDH) | Join us on Discord!",https://deckstats.net/decks/122386/1199660--primer-sliver-overlord-the-go/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Sidisi Zombies,https://deckstats.net/decks/77764/2254856-sidisi-zombies/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Thalia Guardian of Thraben (2 posto torneo lv 1),https://deckstats.net/decks/146653/1500878-thalia-guardian-of-thraben-2-p/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Slivers,https://deckstats.net/decks/154791/1664068-slivers/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Vampires,https://deckstats.net/decks/154791/2825665-vampires/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Blaze Commando (PDH),https://deckstats.net/decks/68223/1721067-blaze-commando-pdh-/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Varina's Esper Zombie Tribal EDH,https://deckstats.net/decks/50927/1087658-varina-s-esper-zombie-tribal-e/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Roon Bant Flicker Control EDH,https://deckstats.net/decks/50927/459258-roon-bant-flicker-control-edh/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Muldrotha's Graveyard Combo EDH,https://deckstats.net/decks/50927/646181-muldrotha-s-graveyard-combo-ed/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Chulane Bant Infinite Combo EDH,https://deckstats.net/decks/50927/1337755-chulane-bant-infinite-combo-ed/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Sliver,https://deckstats.net/decks/78824/636530-sliver/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Breya CopyFact,https://deckstats.net/decks/224393/2897237-breya-copyfact/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Krenko, Mob Boss | Goblin Tribal",https://deckstats.net/decks/154877/1631817-krenko-mob-boss-goblin-tribal/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Burn In The Heat Of The Stars,https://deckstats.net/decks/126899/2834271-burn-in-the-heat-of-the-stars/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Optimus Has Now The Good Stuff,https://deckstats.net/decks/126899/2803576-optimus-has-now-the-good-stuff/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Sand Sherriff,https://deckstats.net/decks/143379/2842968-sand-sherriff/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Baral says no,https://deckstats.net/decks/161480/2778631-baral-says-no/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Ishkanah, Grafwidow EDH",https://deckstats.net/decks/25735/1379645-ishkanah-grafwidow-edh/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Kaalia,https://deckstats.net/decks/104328/1092194-kaalia/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
RASHMI COMMANDER,https://deckstats.net/decks/13159/646778-rashmi-commander/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Sacrilege,https://deckstats.net/decks/6866/747133-sacrilege/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
SPIDER TRIBE COMMANDER,https://deckstats.net/decks/14018/2856159-spider-tribe-commander/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Marchesa, Queen of Sway",https://deckstats.net/decks/157500/1679810-marchesa-queen-of-sway/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
EDH Zacama - Mana and Stuff,https://deckstats.net/decks/190959/2774664-edh-zacama-mana-and-stuff/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Dragons Triumph,https://deckstats.net/decks/135252/1704854-dragons-triumph/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Chandra lights the spark of Purphoros,https://deckstats.net/decks/20459/2790756-chandra-lights-the-spark-of-pu/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Prossh, Skyraider of Kher",https://deckstats.net/decks/56688/405039-prossh-skyraider-of-kher/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Krenko, Tin Street Bö",https://deckstats.net/decks/104328/1501594-krenko-tin-street-b-/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Atraxa Superfriends (Planeswalker Deck),https://deckstats.net/decks/117456/1110941-atraxa-superfriends-planeswalk/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
"Copy of: Omnath, Locus of Rage EDH",https://deckstats.net/decks/222520/2895497-copy-of-omnath-locus-of-rage-e/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Vorel of the Hull Clade EDH,https://deckstats.net/decks/64187/1097323-vorel-of-the-hull-clade-edh/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Kaalia of the Vast EDH,https://deckstats.net/decks/25735/1300439-kaalia-of-the-vast-edh/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Copy of: Teysa Karlov | Absolution,https://deckstats.net/decks/220341/2893957-copy-of-teysa-karlov-absolutio/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
Commander - King Eternal,https://deckstats.net/decks/13970/1930133-commander-king-eternal/en?include_comments=1&do_not_include_printings=0&export_txt=1&share_key=
